"","count mouses","count cats","count sunflowers"
,"50","50","100"
,"50","50","96"
,"50","49","94"
,"50","48","93"
,"49","48","93"
,"48","48","90"
,"47","47","90"
,"47","46","89"
,"48","44","91"
,"47","44","89"
,"46","44","88"
,"46","44","86"
,"46","43","87"
,"44","43","87"
,"44","43","87"
,"44","43","85"
,"43","43","86"
,"43","43","86"
,"43","43","89"
,"39","43","89"
,"38","43","90"
,"38","43","87"
,"37","43","88"
,"36","42","87"
,"36","42","86"
,"36","42","85"
,"36","42","85"
,"34","42","84"
,"33","42","86"
,"32","41","85"
,"32","41","83"
,"33","42","81"
,"33","42","82"
,"33","41","82"
,"33","41","82"
,"33","40","81"
,"33","40","82"
,"33","40","81"
,"33","40","83"
,"33","40","81"
,"33","40","81"
,"32","40","80"
,"31","40","81"
,"28","40","81"
,"28","40","81"
,"28","40","81"
,"27","40","81"
,"26","40","79"
,"26","40","83"
,"25","40","83"
,"25","40","85"
,"25","40","85"
,"25","39","89"
,"25","39","87"
,"24","39","88"
,"24","39","88"
,"24","39","88"
,"24","39","88"
,"24","39","89"
,"24","39","89"
,"24","39","89"
,"24","39","87"
,"24","39","87"
,"24","39","87"
,"24","38","88"
,"23","38","88"
,"24","38","87"
,"24","37","86"
,"24","36","89"
,"23","36","88"
,"24","36","88"
,"24","36","88"
,"25","36","87"
,"25","36","87"
,"25","36","88"
,"25","36","88"
,"23","36","89"
,"23","36","89"
,"23","36","89"
,"23","36","88"
,"23","36","89"
,"24","36","89"
,"24","36","88"
,"25","36","88"
,"26","36","90"
,"25","36","90"
,"24","36","91"
,"24","36","91"
,"24","36","91"
,"23","36","91"
,"23","37","92"
,"23","37","92"
,"22","37","94"
,"21","37","94"
,"21","37","95"
,"21","37","93"
,"21","37","92"
,"21","37","92"
,"21","36","92"
,"20","36","90"
,"20","36","89"
,"18","35","88"
,"17","35","88"
,"17","35","87"
,"17","35","87"
,"17","35","86"
,"17","35","86"
,"17","35","86"
,"17","35","88"
,"17","35","87"
,"17","35","91"
,"17","35","91"
,"17","35","90"
,"17","35","89"
,"17","35","90"
,"17","35","90"
,"17","35","92"
,"17","35","90"
,"17","35","89"
,"17","35","89"
,"17","35","95"
,"17","34","94"
,"15","34","96"
,"15","34","96"
,"16","34","97"
,"17","34","97"
,"17","34","96"
,"17","34","95"
,"17","34","95"
,"17","34","95"
,"16","34","98"
,"16","34","98"
,"16","34","98"
,"16","34","98"
,"16","34","99"
,"16","34","99"
,"16","33","99"
,"16","33","99"
,"16","33","100"
,"16","33","99"
,"16","33","99"
,"16","33","99"
,"15","33","100"
,"15","33","99"
,"15","33","100"
,"15","32","99"
,"15","32","99"
,"15","32","98"
,"15","32","100"
,"15","32","97"
,"15","32","101"
,"15","32","100"
,"15","30","102"
,"15","30","102"
,"15","30","108"
,"15","30","108"
,"15","30","110"
,"15","31","110"
,"15","31","109"
,"15","31","109"
,"15","30","110"
,"15","29","110"
,"15","29","109"
,"15","29","109"
,"15","28","111"
,"15","27","111"
,"15","27","112"
,"15","27","112"
,"15","27","112"
,"15","27","112"
,"15","27","114"
,"15","27","114"
,"15","27","113"
,"15","27","113"
,"15","26","113"
,"15","26","113"
,"15","26","116"
,"15","26","116"
,"15","26","117"
,"15","26","117"
,"15","26","116"
,"15","26","114"
,"15","26","115"
,"15","26","115"
,"15","26","115"
,"15","26","115"
,"15","25","117"
,"15","25","117"
,"15","25","117"
,"15","25","117"
,"15","25","117"
,"15","24","117"
,"14","23","119"
,"14","23","119"
,"14","23","121"
,"14","23","121"
,"14","22","120"
,"14","22","119"
,"14","21","118"
,"14","20","118"
,"13","20","117"
,"13","20","117"
,"13","20","117"
,"13","20","117"
,"13","20","117"
,"13","20","117"
,"13","20","117"
,"12","20","117"
,"12","19","117"
,"12","19","115"
,"12","19","117"
,"12","19","117"
,"12","19","125"
,"12","19","125"
,"12","19","125"
,"12","18","125"
,"12","18","126"
,"12","18","124"
,"12","18","126"
,"12","18","126"
,"12","18","125"
,"12","18","125"
,"12","18","133"
,"12","18","133"
,"12","18","135"
,"12","18","135"
,"12","18","135"
,"11","18","134"
,"11","18","134"
,"11","18","134"
,"11","18","134"
,"11","18","134"
,"11","18","139"
,"11","18","139"
,"11","18","138"
,"11","18","138"
,"11","18","139"
,"11","18","139"
,"11","18","141"
,"11","18","141"
,"11","18","143"
,"11","18","143"
,"11","18","144"
,"11","18","144"
,"11","18","146"
,"10","18","146"
,"10","18","148"
,"10","18","148"
,"10","18","148"
,"10","18","148"
,"10","18","153"
,"10","17","152"
,"10","17","161"
,"10","17","159"
,"9","17","163"
,"9","17","163"
,"9","17","171"
,"9","17","171"
,"9","17","174"
,"9","17","174"
,"9","17","173"
,"9","17","172"
,"9","17","175"
,"9","17","175"
,"9","17","175"
,"9","17","173"
,"9","16","176"
,"8","16","175"
,"8","16","177"
,"8","15","177"
,"8","14","177"
,"8","14","176"
,"8","14","175"
,"8","14","175"
,"8","14","175"
,"8","14","175"
,"8","14","175"
,"8","13","175"
,"8","13","180"
,"8","13","179"
,"8","13","181"
,"8","13","180"
,"8","13","180"
,"8","13","180"
,"8","13","181"
,"8","13","180"
,"8","13","179"
,"8","13","178"
,"8","13","179"
,"8","13","176"
,"8","13","177"
,"8","13","177"
,"8","13","177"
,"8","13","177"
,"8","13","179"
,"8","13","179"
,"8","13","182"
,"8","12","180"
,"8","12","181"
,"8","12","181"
,"8","12","180"
,"8","12","180"
,"8","11","179"
,"8","11","179"
,"8","11","178"
,"8","11","178"
,"8","11","178"
,"8","11","178"
,"8","11","177"
,"8","11","176"
,"8","11","176"
,"8","11","176"
,"8","11","180"
,"8","11","180"
,"8","11","193"
,"8","11","193"
,"8","11","192"
,"8","11","191"
,"8","11","193"
,"8","11","192"
,"8","11","198"
,"8","11","198"
,"8","10","198"
,"8","10","198"
,"8","10","214"
,"8","10","214"
,"8","10","220"
,"8","10","218"
,"8","10","219"
,"8","10","218"
,"8","10","218"
,"8","10","217"
,"8","10","217"
,"8","10","217"
,"8","10","225"
,"8","10","224"
,"8","10","224"
,"8","10","223"
,"8","10","224"
,"8","10","223"
,"8","10","226"
,"8","10","226"
,"8","10","230"
,"8","10","230"
,"8","10","231"
,"8","9","231"
,"8","9","233"
,"8","9","233"
,"8","9","238"
,"8","9","238"
,"8","9","238"
,"8","9","238"
,"8","9","245"
,"8","9","245"
,"8","9","257"
,"8","9","257"
,"8","9","263"
,"8","9","261"
,"8","9","275"
,"8","9","275"
,"8","9","277"
,"8","9","277"
,"8","9","275"
,"8","9","275"
,"8","9","280"
,"8","9","278"
,"8","8","277"
,"8","8","276"
,"8","8","279"
,"8","8","279"
,"8","8","282"
,"8","7","281"
,"8","7","281"
,"8","7","281"
,"8","7","282"
,"8","7","281"
,"8","7","281"
,"8","7","281"
,"8","7","280"
,"8","7","280"
,"8","7","285"
,"8","7","285"
,"8","7","287"
,"8","7","287"
,"8","7","287"
,"8","7","287"
,"8","7","288"
,"7","7","288"
,"7","7","287"
,"7","7","286"
,"7","7","287"
,"7","7","287"
,"7","7","289"
,"7","7","289"
,"7","7","289"
,"7","7","288"
,"7","7","293"
,"7","7","293"
,"7","7","299"
,"7","8","297"
,"7","8","297"
,"7","8","296"
,"7","8","295"
,"7","8","294"
,"7","8","294"
,"7","8","292"
,"7","8","292"
,"7","8","292"
,"7","8","292"
,"7","8","291"
,"7","8","291"
,"7","8","291"
,"7","8","291"
,"7","8","291"
,"7","8","297"
,"7","8","297"
,"7","8","320"
,"7","8","320"
,"7","8","319"
,"7","8","319"
,"7","8","323"
,"7","8","323"
,"7","8","333"
,"7","8","333"
,"7","7","333"
,"7","7","332"
,"7","7","359"
,"7","7","356"
,"7","7","365"
,"7","7","365"
,"7","6","366"
,"7","6","365"
,"7","6","363"
,"7","6","363"
,"7","6","362"
,"7","6","362"
,"7","6","375"
,"7","6","375"
,"7","6","375"
,"7","6","374"
,"7","6","377"
,"7","6","376"
,"7","6","381"
,"7","6","380"
,"7","6","387"
,"7","6","387"
,"7","6","386"
,"7","6","386"
,"7","6","392"
,"7","6","392"
,"7","6","397"
,"7","6","396"
,"6","6","396"
